Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identification Numbers (BINs),Street Number,Street Name,Borough,Zip Code,BBL on the Covered Buildings List,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4151629,2058141401,,,2084360,231,WEST  246 STREET    ,BRONX               ,10471,Yes,In Compliance ,160.8,156.1,303.2,297.9,Not Available,No,None,1,2948.4,1513.9,1434.5,266800,110000,K-12 School,2
4156454,1004560007,,,1087255,285,BOWERY              ,MANHATTAN,10003,Yes,In Compliance ,100.8,Not Available,106.1,Not Available,64.88,Yes,ABS,78,1124.2,1121.8,2.4,209910,234610,Multifamily Housing,1
4156455,1004570028,,,1087698,21,   2 AVENUE         ,MANHATTAN,10003,Yes,In Compliance ,182.3,176.1,323.8,317.7,Not Available,No,None,1,1250.7,683,567.7,108079,115187,Multifamily Housing,1
4156456,1010817502,,,1087777,500,WEST   53 STREET    ,MANHATTAN,10019,Yes,In Compliance ,145.9,142.4,239.4,235.9,Not Available,No,None,2,2332.5,1444.3,888.2,259737,415288,Multifamily Housing,1
4156457,1010807501,,,1087481,510,WEST   52 STREET    ,MANHATTAN,10019,Yes,In Compliance ,120.1,115,184.5,179.6,Not Available,No,None,17,1542.4,1047.2,495.2,213863,273120,Multifamily Housing,1
4156458,1010210001,,,1085498,810,   8 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,142.7,140.4,227.5,225.7,65.2,Yes,ABS,2,3857.5,2488.2,1369.3,444104,578099,Multifamily Housing,1
4156460,1009390028,,,1086501,347,EAST   33 STREET    ,MANHATTAN,10016,Yes,In Compliance ,96.3,Not Available,174,Not Available,44.63,Yes,ABS,15,1160,620.1,539.9,186206,213549,Multifamily Housing,1
4156462,4000190019,,,4439033,     4-75,  48 AVENUE         ,QUEENS,11109,Yes,In Compliance ,77.7,74.9,127.9,125.4,38.45,Yes,ABS,53,2810.6,1729.5,1081.1,587185,684862,Multifamily Housing,1
4156463,3020490002,,,3393888,343,GOLD STREET         ,BROOKLYN            ,11201,Yes,In Compliance ,105.2,101.2,162.2,158,Not Available,No,None,19,3785,2554.8,1230.2,598359,442714,Multifamily Housing,1
4157490,1000280012,,,1000833,76,BEAVER STREET       ,MANHATTAN,10005,Yes,In Compliance ,113.4,107.3,222.6,215,Not Available,No,None,Not Available,771.7,0,771.7,93390,95325,Other,1
4157836,1008010071,,,1015028,152,WEST   26 STREET    ,MANHATTAN,10001,Yes,In Compliance ,125.2,122.7,243.7,240.8,Not Available,No,None,49,989.9,455.3,534.6,120000,122236,Other,1
4162364,1005157502,,,1008013,149,WOOSTER STREET      ,MANHATTAN,10012,Yes,In Compliance ,67.5,66.7,150.3,149.4,Not Available,No,None,Not Available,247.6,82.2,165.4,52500,52459,Multifamily Housing,1
4162546,5000010275,,,5089354,90,BAY STREET LANDING  ,STATEN ISLAND       ,10301,Yes,In Compliance ,104.5,Not Available,291.7,Not Available,Not Available,No,None,1,1489.6,169.4,1320.2,182865,182861,Multifamily Housing,1
4162607,3001490100,,,3396179,340,FLATBUSH AVENUE EXT ,BROOKLYN            ,11201,Yes,In Compliance ,98.2,93.7,147,140.8,Not Available,No,None,82,398.7,279.9,118.8,68235,68233,Office,1
4177846,1013750067,,,1040809,797,   5 AVENUE         ,MANHATTAN,10065,Yes,In Compliance ,187.8,184.4,361.7,358.5,97.79,No,Manual,5,7249.2,0,7249.2,532000,515755,Hotel,1
4178067,4134740004,,,4286785,   145-73, 226 STREET         ,QUEENS,11413,Yes,In Compliance ,102.7,100.7,149.2,146.7,Not Available,No,None,50,329.4,240.1,89.4,54500,54000,Non-Refrigerated Warehouse,1
4181598,1010760015,,,1026985,525,WEST   47 STREET    ,MANHATTAN,10036,Yes,In Compliance ,86.9,82.9,132.9,128.7,Not Available,No,None,62,255.4,174.4,81,49000,52850,Multifamily Housing,1
4187001,3006710001,,,3009889,850,   3 AVENUE         ,BROOKLYN            ,11232,Yes,In Compliance ,19.8,19.3,35.3,34.8,Not Available,No,None,Not Available,1409,765.5,643.6,1120000,1120000,Office,1
4188721,3087230410,,,3321780;3321780,1511,CORBIN PLACE        ,BROOKLYN            ,11235,Yes,In Compliance ,35.2,35.2,43.3,43.3,Not Available,No,None,100,287.3,254.7,32.6,109832,109832,Multifamily Housing,2
4188722,3008030192,,,Not Available,14,  53 STREET         ,BROOKLYN            ,11232,Yes,In Compliance ,Not Available,Not Available,Not Available,Not Available,Not Available,No,None,Not Available,Not Available,Not Available,Not Available,292886,302000,Distribution Center,1
4188731,1020540082,,,1061189,66,ST NICHOLAS PLACE   ,MANHATTAN,10032,Yes,In Compliance ,73.3,70.2,105.4,102.4,33.51,Yes,ABS,Not Available,342.7,266.2,76.5,63132,63132,Multifamily Housing,1
4196094,1008630060,,,1017089,183,MADISON AVENUE      ,MANHATTAN,10016,Yes,In Compliance ,73,70.6,155.4,153.5,13.66,Yes,ABS,86,1369.7,618.5,751.2,236406,233484,Office,1
4199039,3063280001,,,3165172,1901,  84 STREET         ,BROOKLYN            ,11214,Yes,In Compliance ,84.7,Not Available,106.3,Not Available,82.67,Yes,ABS,82,444.8,380.8,64,92750,79500,Multifamily Housing,1
4199895,1019440018,,,1059061,400,MANHATTAN AVENUE    ,MANHATTAN,10026,Yes,In Compliance ,116.5,111.7,155.1,150.2,Not Available,Yes,None,15,604,503.3,100.7,69665,69665,Multifamily Housing,1
4200172,3011040032,,,3396049,406,  15 STREET         ,BROOKLYN            ,11215,Yes,In Compliance ,31.1,30.2,97.6,94.8,Not Available,Yes,None,85,109,0,109,42292,50717,Multifamily Housing,1
4200194,1020090018,,,Not Available,143,WEST  140 STREET    ,MANHATTAN,10030,Yes,In Compliance ,45.5,45.5,96.2,96.2,Not Available,Yes,None,88,196.7,75.3,121.4,63281,67474,Multifamily Housing,1
4200227,1020090012,,,1060063,151,WEST  140 STREET    ,MANHATTAN,10030,Yes,In Compliance ,75.6,71.8,109.9,105.8,Not Available,Yes,None,65,313.7,228.4,85.3,70509,70509,Multifamily Housing,1
4200241,1019310021,,,1058659,215,WEST  125 STREET    ,MANHATTAN,10027,Yes,In Compliance ,112.8,111.7,226.3,225.3,Not Available,No,None,40,1251.2,539.8,711.4,166200,170841,Office,1
4200267,2033440102,,,2110145,3535,KINGS COLLEGE PLACE ,BRONX               ,10467,Yes,In Compliance ,105.7,101.7,140.4,136.5,40.24,Yes,ABS,30,1280.4,1072.1,208.3,160000,160000,Multifamily Housing,2
4200956,1008680036,,,1017236,70,PARK AVENUE         ,MANHATTAN,10016,Yes,In Compliance ,127.6,125.4,296.2,294.3,Not Available,No,None,33,833,10.7,822.3,86200,83000,Hotel,1
4201154,2026040252,,,2004152,977,EAST  149 STREET    ,BRONX               ,10455,Yes,In Compliance ,85.8,81.3,137.5,132.8,1.39,Yes,ABS,49,1214.3,777.8,436.5,232000,213776,Distribution Center,1
4201259,5000017502,,,5149659,155,BAY STREET          ,STATEN ISLAND       ,10301,Yes,In Compliance ,57.6,57.6,180.7,180.7,Not Available,Yes,None,10,359.1,0,359.1,75226,100071,Multifamily Housing,1
4207635,1005947503,,,1086554,505,GREENWICH STREET    ,MANHATTAN,10013,Yes,In Compliance ,93.2,89.5,176.8,172.7,33.7,Yes,ABS,9,925.8,448.5,477.2,152309,199216,Multifamily Housing,1
4219041,4002140210,,,4003105,    33-00,NORTHERN BOULEVARD  ,QUEENS,11101,Yes,In Compliance ,68,63.4,148.9,143.7,18.17,No,Manual,89,2363.2,976,1387.2,444606,436814,Office,1
4224272,5055330058,,,5073738,3231,RICHMOND AVENUE     ,STATEN ISLAND       ,10312,Yes,In Compliance ,110.3,106.2,154,149.7,4.65,No,Manual,Not Available,646.8,493.8,153,100977,77582,Retail Store,1
4224276,5039690001,,,5055377,2660,HYLAN BOULEVARD     ,STATEN ISLAND       ,10306,Yes,In Compliance ,57.3,56.5,132.4,131.6,13.45,No,Manual,Not Available,1451.4,430.8,1020.6,356267,178424,Retail Store,1
4226798,1008730001,,,1080799,201,PARK AVENUE SOUTH   ,MANHATTAN,10003,Yes,In Compliance ,153.6,149.7,271,266.8,70.87,No,Manual,24,2209.3,168,2041.3,205473,200000,Hotel,1
4226803,1013150044,,,1037547,214,EAST   42 STREET    ,MANHATTAN,10017,Yes,In Compliance ,171,171.1,271.1,271.4,56.17,No,Manual,31,4870.8,3166.6,1704.2,468907,502158,Hotel,1
4227626,3050600027,,,3116114,36,CROOKE AVENUE       ,BROOKLYN            ,11226,Yes,In Compliance ,78.6,Not Available,89.2,Not Available,64.37,Yes,ABS,89,269.2,252.5,16.7,60179,51582,Multifamily Housing,1
4259004,4038840034,,,4095021,    90-30,METROPOLITAN AVENUE ,QUEENS,11374,Yes,In Compliance ,122.3,Not Available,325.3,Not Available,Not Available,Yes,None,Not Available,603.7,96.9,506.8,64868,64868,Strip Mall,1
4266080,1012760001,,,1035330,479,   5 AVENUE         ,MANHATTAN,10017,Yes,In Compliance ,142.6,Not Available,311.9,Not Available,Not Available,No,None,27,2024,28.3,1995.7,190357,190357,Hotel,1
4276080,3010640024,,,3024627,47,PLAZA ST WEST       ,BROOKLYN            ,11217,Yes,In Compliance ,79.9,75.9,104,99.7,Not Available,Yes,None,Not Available,441,363.6,77.4,97321,94821,Multifamily Housing,1
4276889,4050150012,,,4113463,   144-24,  37 AVENUE         ,QUEENS,11354,Yes,In Compliance ,44.1,44.1,73.7,73.8,10.91,No,Manual,99,245.2,160.3,85,75558,75558,Multifamily Housing,1
4276936,1011340010,,,1088440,60,LINCOLN CENTER PLAZA,MANHATTAN,10023,Yes,In Compliance ,19.6,19.6,61.7,61.7,Not Available,No,None,Not Available,187.1,0,187.1,114829,58219,Performing Arts,1
4278872,3051230051,,,3117616,165,EAST   19 STREET    ,BROOKLYN            ,11226,Yes,In Compliance ,42.9,Not Available,76.3,Not Available,Not Available,No,None,95,405.5,239.6,165.9,131040,131040,Multifamily Housing,1
4279948,2048340033,,,2063266,645,EAST  231 STREET    ,BRONX               ,10466,Yes,In Compliance ,108.3,100.8,137.1,129.6,7.3,Yes,ABS,29,542.7,471.1,71.7,67224,67224,Multifamily Housing,1
4284561,1015250005,,,1048510,211,EAST   79 STREET    ,MANHATTAN,10075,Yes,In Compliance ,45.3,45,133.1,132.2,Not Available,No,None,97,655,42.3,612.6,180625,170000,Senior Care Community,1
4286638,4024740021,,,4057228,    51-25,VAN KLEECK STREET   ,QUEENS,11373,Yes,In Compliance ,118.8,Not Available,161.2,Not Available,Not Available,No,None,31,464.5,369,95.5,65000,65000,Multifamily Housing,1
4288062,3002440011,,,3335931,189,MONTAGUE STREET     ,BROOKLYN            ,11201,Yes,In Compliance ,89.5,86.2,162.3,158.3,Not Available,No,None,77,429.7,226.4,203.3,75000,75000,Office,1
4288074,3001647501,,,3000484,180,LIVINGSTON STREET   ,BROOKLYN            ,11201,Yes,In Compliance ,59.6,58.9,157.8,157.1,Not Available,No,None,76,1095.1,180.6,914.5,242086,278500,Mixed Use Property,1
4288940,3072500001,,,3257102; 3257103; 3257104; 3257105,2790,WEST    5 STREET    ,BROOKLYN            ,11224,Yes,In Compliance ,184.9,Not Available,194.1,Not Available,Not Available,Yes,None,2,13608.3,13608.3,0,1385656,1259938,Multifamily Housing,1
4288948,3072530001,,,3320736; 3320734; 3320735,2830,OCEAN PARKWAY       ,BROOKLYN            ,11235,Yes,In Compliance ,191.6,190,201.2,199.5,Not Available,Yes,None,1,20244.4,20244.4,0,1989288,1800000,Multifamily Housing,3
4292967,1000050010,,,1000007,115,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,86.2,86.2,212.9,213.1,Not Available,No,None,77,7292.6,0,7292.6,1096193,1016406,Office,1
4296368,1015010069,,,1046979,1085,   5 AVENUE         ,MANHATTAN,10128,Yes,In Compliance ,93.3,87.6,157.3,151.4,Not Available,No,None,23,481.6,286.2,195.4,83000,123500,Worship Facility,1
4299287,1012687503,,,1089376,20,WEST   53 STREET    ,MANHATTAN,10019,Yes,In Compliance ,85.5,81.8,214,205.6,Not Available,No,None,1,1331.3,291.7,1039.6,210864,346700,Multifamily Housing,1
4306958,4032930074,,,4078806,   110-20,  73 ROAD           ,QUEENS,11375,Yes,In Compliance ,128,Not Available,165.6,Not Available,Not Available,Yes,None,15,598,498.3,99.7,78650,78650,Multifamily Housing,1
4312804,1010440029,,,1025400,891,   8 AVENUE         ,MANHATTAN,10019,Yes,In Compliance ,54.4,54.4,119.7,119.7,40.41,Yes,ABS,94,1392,543.6,848.4,338080,348082,Multifamily Housing,1
4325394,2024650034,,,2002853,114,EAST  168 STREET    ,BRONX               ,10452,Yes,In Compliance ,2.2,2.2,5.6,5.6,Not Available,No,None,100,11.4,2.4,9,70000,70000,Multifamily Housing,1
4326487,3074470028,,,3320928;3320929;3320930;3320931;3833191,2520,BATCHELDER STREET   ,BROOKLYN            ,11235,Yes,In Compliance ,77.1,75.6,118.4,116.8,Not Available,No,None,66,2708.2,1837.9,870.3,585000,583000,Multifamily Housing,4
4335603,1015180009,,,1048108,115,EAST   89 STREET    ,MANHATTAN,10128,Yes,In Compliance ,78.9,76.1,118.4,115.1,Not Available,No,None,66,248.3,173.7,74.5,52848,52848,Multifamily Housing,1
4335611,1020337501,,,1060526,220,WEST  148 STREET    ,MANHATTAN,10039,Yes,In Compliance ,50.5,47.1,104.8,99.9,Not Available,No,None,81,337.4,135.2,202.2,98581,101460,Mixed Use Property,1
4326525,4071170051,,,4560990;4444101;4560968;4444106;4444103;4444104;4444105;4444107;4444109;4444110;4560640;4560824;4560720;4444100;4560744;4444108;4560630;4560639;4560731;4560733;4560734;4560736;4560737;4560738;4560740;4560741;4560742;4560745;4560746;4560747;4560748;4560769;4560770;4560771;4560773;4560775;4560776;4560778;4560798;4560801;4560803;4560804;4560805;4560808;4560820;4560821;4560823;4560826;4560834;4560835;4560836;4560837;4560838;4560839;4560840;4560841;4560842;4560843;4560844;4560966;4560969;4560970;4560971;4560972;4560973;4560975;4560976;4560977;4560978;4560979;4560980;4560981;4560991;4560992;4560994;4444099,   196-66,  69 AVENUE         ,QUEENS,11365,Yes,In Compliance ,50.9,48.7,159.8,153.1,Not Available,No,None,20,485.5,0,485.5,115000,110000,Multifamily Housing,4
4341128,1005127502,,,1007956,599,BROADWAY            ,MANHATTAN,10012,Yes,In Compliance ,32.9,Not Available,90.1,Not Available,Not Available,No,None,97,600,103.1,496.9,224409,224409,Office,1
4326530,4071170401,,,4459708;4459685;4459694;4459706;4444111;4459716;4459684;4459744;4459703;4459695;4444112;4444113;4444115;4444116;4444117;4444118;4444119;4444120;4459680;4459681;4459682;4459683;4459686;4459687;4459688;4459689;4459690;4459691;4459692;4459693;4459696;4459697;4459698;4459699;4459700;4459701;4459702;4459704;4459705;4459707;4459709;4459710;4459711;4459712;4459713;4459714;4459715;4459717;4459718;4459719;4459720;4459722;4459723;4459724;4459725;4459726;4459727;4459728;4459729;4459731;4459732;4459733;4459740;4459741;4459742;4459743;4459745;4459746;4459747;4459749;4459750;4459751;4459752;4459753;4444121;4444124;4444125;4459755;4459756;4590976,   196-14,  69 AVENUE         ,QUEENS,11365,Yes,In Compliance ,43.5,41.3,136.5,129.7,65.85,Yes,ABS,43,432.6,0,432.6,120000,116000,Multifamily Housing,1
4326534,1021340206,,,1063278,   156-20,RIVERSIDE DRIVE WEST,MANHATTAN,10032,Yes,In Compliance ,29.3,28.2,92.2,88.5,Not Available,No,None,83,1582,0,1582,650000,646044,Multifamily Housing,1
4326541,4015600001,,,4039012,    44-05,MACNISH STREET      ,QUEENS,11373,Yes,In Compliance ,105,101.1,140.9,137.1,Not Available,No,None,53,872.2,695.8,176.4,145000,144932,Multifamily Housing,1
4326550,4015610012,,,4039027,    44-10,MACNISH STREET      ,QUEENS,11373,Yes,In Compliance ,92.2,89,127,123.8,Not Available,No,None,75,522.1,404.9,117.3,98000,97032,Multifamily Housing,1
4327694,1000930020,,,1001281,156,WILLIAM STREET      ,MANHATTAN,10038,Yes,In Compliance ,101.7,102.8,192.2,192.9,Not Available,No,None,Not Available,1768.6,0,1768.6,240644,215755,Office,1
4328618,2024720011,,,2002889,1075,GRAND CONCOURSE     ,BRONX               ,10452,Yes,In Compliance ,95.7,90,120.4,114.6,133.96,Yes,ABS,42,1135.2,990.5,144.6,157624,118218,Multifamily Housing,1
4332329,2033830001,,,2019336,4260,KATONAH AVENUE      ,BRONX               ,10470,Yes,In Compliance ,110.8,108,151.3,148.5,46.83,Yes,ABS,22,618.2,486.9,131.3,93645,93645,Multifamily Housing,1
4334382,2024730055,,,2002899,695,WALTON AVENUE       ,BRONX               ,10451,Yes,In Compliance ,121.3,107.3,151.1,136.8,Not Available,No,None,Not Available,875,763.1,111.9,108600,108600,Multifamily Housing,1
4334948,2057390257,,,2083422,3135,JOHNSON AVENUE      ,BRONX               ,10463,Yes,In Compliance ,111.3,105.7,159.4,153.7,41.33,Yes,ABS,8,929.1,689.3,239.8,141721,141721,Multifamily Housing,1
4335309,1010330009,,,1085966,349,WEST   42 STREET    ,MANHATTAN,10036,Yes,In Compliance ,126.4,124,224.1,221.4,Not Available,No,None,2,1843.5,1009.5,834,230000,230000,Multifamily Housing,1
4335439,1010330109,,,1024938,350,WEST   43 STREET    ,MANHATTAN,10036,Yes,In Compliance ,100.7,97.3,190.2,186.5,Not Available,No,None,6,393.3,192.3,201,60000,60001,Multifamily Housing,1
4335590,1007200045,,,1086503,401,WEST   22 STREET    ,MANHATTAN,10011,Yes,In Compliance ,45.7,44.2,84,82.7,35.75,Yes,ABS,96,171.7,88.2,83.6,58394,58394,Multifamily Housing,1
4335594,4124950002,,," 4436334, 4436356, 4436357, 4454070, 4436340, 4448681, 4436332, 4841296, 4436341, 4436335, 4436339, 4436346, 4829402, 4436354, 4436333, 4436337, 4436343, 4436336, 4436353, 4436338, 4436342, 4436344, 4436345, 4436347, 4436349, 4436350, 4436351, 4436352, 4594694",   163-15,BAISLEY BOULEVARD   ,QUEENS,11434,Yes,In Compliance ,39.5,39.5,80.6,80.6,Not Available,No,None,96,18468.3,7692,10776.3,6940450,6940450,Multifamily Housing,23
4335614,3023680001,,,3251737,143,ROEBLING STREET     ,BROOKLYN            ,11211,Yes,In Compliance ,123.1,121,154.4,152.2,Not Available,No,None,39,721.7,617.2,104.5,104661,104661,Multifamily Housing,3
4338277,1007457503,,,1087948,225,   8 AVENUE         ,MANHATTAN,10011,Yes,In Compliance ,128.2,123.7,218.4,214,Not Available,No,None,4,533.6,312.1,221.5,66668,82481,Multifamily Housing,1
4339147,2029920043,,,2010702,1950,DALY AVENUE         ,BRONX               ,10460,Yes,In Compliance ,75.5,Not Available,120.4,Not Available,Not Available,No,None,50,420.2,292.1,128.1,75180,64440,Multifamily Housing,1
4339202,2024610130,,,2002825,1011,SHERIDAN AVENUE     ,BRONX               ,10456,Yes,In Compliance ,59.7,Not Available,89,Not Available,Not Available,Yes,None,76,612.1,432.4,179.7,172512,150948,Multifamily Housing,1
4339294,2024760047,,,2002917,923,WALTON AVENUE       ,BRONX               ,10452,Yes,In Compliance ,80.3,Not Available,108.1,Not Available,Not Available,Yes,None,82,565.7,449.8,116,122915,105356,Multifamily Housing,1
4339341,2024760050,,,2002918,911,WALTON AVENUE       ,BRONX               ,10452,Yes,In Compliance ,96.2,Not Available,128.5,Not Available,Not Available,Yes,None,51,582.5,466.9,115.6,105868,90744,Multifamily Housing,1
4340553,1008507502,,,1016277,932,BROADWAY            ,MANHATTAN,10010,Yes,In Compliance ,117.9,Not Available,284.5,Not Available,Not Available,Yes,None,25,507.4,129.4,378,59307,61147,Office,1
4341135,3050850083,,,3116693,199,LINDEN BOULEVARD    ,BROOKLYN            ,11226,Yes,In Compliance ,104.4,99.2,136.3,130.8,Not Available,No,None,22,1044.8,857.9,186.8,176270,176270,Multifamily Housing,1
4341150,2025990035,,,2097197,828,EAST  144 STREET    ,BRONX               ,10454,Yes,In Compliance ,171.3,166.3,294.2,288.9,Not Available,No,None,Not Available,797.9,460.6,337.3,74350,74350,Manufacturing/Industrial Plant,1
4341928,1012830017,,,1035420,400,MADISON AVENUE      ,MANHATTAN,10017,Yes,In Compliance ,75.1,71.5,185.4,181.6,Not Available,No,None,77,1106.9,322.1,784.8,184140,146191,Office,1
4341936,1005220001,,,1008209,610,BROADWAY            ,MANHATTAN,10012,Yes,In Compliance ,102.1,101.5,308.6,308.6,Not Available,No,None,54,809,29.9,779,97500,122200,Office,1
4341957,1008217506,,,1015460,636,AVENUE OF THE AMER  ,MANHATTAN,10011,Yes,In Compliance ,80.5,Not Available,199.7,Not Available,Not Available,No,None,85,534.9,148,386.9,83971,79784,Office,1
4343225,1010670038,,,1026891,410,WEST   58 STREET    ,MANHATTAN,10019,Yes,In Compliance ,72,71.8,203.2,203.1,Not Available,No,None,36,315.7,32.4,283.3,55945,55750,Residence Hall/Dormitory,1
4344096,1018710001,,,1056451,808,WEST END AVENUE     ,MANHATTAN,10025,Yes,In Compliance ,78.6,75.1,108.9,105.2,Not Available,No,None,81,627.3,505.3,122,107120,107120,Multifamily Housing,1
4344097,1018710061,,,1056468,814,WEST END AVENUE     ,MANHATTAN,10025,Yes,In Compliance ,98.1,85.5,125,112.5,Not Available,No,None,60,793.6,685.2,108.4,107869,107869,Multifamily Housing,1
4346506,3010670045,,,3024765,118,   8 AVENUE         ,BROOKLYN            ,11215,Yes,In Compliance ,68.7,Not Available,93,Not Available,26.77,Yes,Manual,83,294.5,234.2,60.3,72160,72160,Multifamily Housing,1
4346676,1000250019,,,1000824,25,BROAD STREET        ,MANHATTAN,10004,Yes,In Compliance ,110.9,106.8,233.4,227.1,Not Available,No,None,Not Available,2647.6,129.6,2518,325755,518034,Multifamily Housing,1
4346734,1015780001,,,1051129,1540,YORK AVENUE         ,MANHATTAN,10028,Yes,In Compliance ,83.1,Not Available,126.1,Not Available,58.78,Yes,Manual,47,1536.9,1060.4,476.5,309204,309204,Multifamily Housing,1
4346736,1011950048,,,1031144,32,WEST   82 STREET    ,MANHATTAN,10024,Yes,In Compliance ,45.7,44.5,54.3,53,37.53,Yes,Manual,100,186.7,169.6,17.1,55120,55120,Multifamily Housing,1
4351756,1011450012,,,1030011,141,WEST   73 STREET    ,MANHATTAN,10023,Yes,In Compliance ,99,94.9,143.1,139,30.94,No,Manual,37,815.4,598,217.4,140170,140170,Multifamily Housing,1
4351763,1009960014,,,1022613,127,WEST   43 STREET    ,MANHATTAN,10036,Yes,In Compliance ,134.4,132.5,230.6,229,Not Available,Yes,None,1,1668.4,1041.2,627.2,172065,172065,Multifamily Housing,1
4352693,4041480080,,,4099030,    17-20,WHITESTONE EP SR W  ,QUEENS,11357,Yes,In Compliance ,47.8,46.3,136.2,134.1,Not Available,Yes,None,70,237.6,22.3,215.4,63110,62545,Office,1
4358005,2057770719,,,2119331,3830,WALDO AVENUE        ,BRONX               ,10463,Yes,In Compliance ,81.6,77.8,212.7,200.8,Not Available,No,None,Not Available,430.1,77.3,352.8,70000,54392,College/University,1
4358096,1019190026,,,1058249,485,LENOX AVENUE        ,MANHATTAN,10037,Yes,In Compliance ,127.6,Not Available,173.9,Not Available,38.86,Yes,Manual,25,1503.3,1228.1,275.2,157721,157728,Multifamily Housing,1
4358160,1011830053,,,1030972,342,WEST   72 STREET    ,MANHATTAN,10023,Yes,In Compliance ,88.6,84,115.9,111.1,Not Available,No,None,68,1003.5,822.3,181.2,199502,199502,Multifamily Housing,1
4358171,1007790057,,,1014300,224,WEST   30 STREET    ,MANHATTAN,10001,Yes,In Compliance ,71.3,65.8,152.5,146.9,Not Available,No,None,85,807.3,359.5,447.7,142801,142801,Office,1
4358417,4000170028,,,4533416,     2-01,  50 AVENUE         ,QUEENS,11101,Yes,In Compliance ,97.3,94.8,145.7,143.5,Not Available,No,None,33,2340.5,1642,698.5,404316,395509,Multifamily Housing,1
4360189,1012460049,,,1033867,340,WEST   85 STREET    ,MANHATTAN,10024,Yes,In Compliance ,122.9,119.9,204.5,201.6,63.38,Yes,Manual,66,480.3,319.4,160.9,51620,51520,Multifamily Housing,1
4360205,1021220077,,,1062928,3926,BROADWAY            ,MANHATTAN,10032,Yes,In Compliance ,253.5,242.6,349.7,337.9,26.74,No,Manual,1,1280.7,991.3,289.4,87380,100000,Multifamily Housing,1
4361897,1007177501,,,1076123,445,WEST   19 STREET    ,MANHATTAN,10011,Yes,In Compliance ,63,Not Available,111,Not Available,Not Available,No,None,85,216.6,119.9,96.8,54355,54355,Multifamily Housing,1
4361947,3045250001,,,3098935,625,WORTMAN AVENUE      ,BROOKLYN            ,11208,Yes,In Compliance ,89.1,Not Available,119,Not Available,Not Available,Yes,None,78,306.4,246.9,59.5,58000,58000,Non-Refrigerated Warehouse,1
4362625,1008620016,,,1017012,152,MADISON AVENUE      ,MANHATTAN,10016,Yes,In Compliance ,100.7,92.8,175.8,168.1,26.18,Yes,Manual,Not Available,622.3,349.9,272.4,98000,98847,Office,1
4364291,4096640001,,,4206531,   137-02,  83 AVENUE         ,QUEENS,11435,Yes,In Compliance ,62.3,60.9,76.6,75.1,Not Available,No,None,81,621.2,542.1,79.1,179024,179024,K-12 School,1
4364579,3012960064,,,3034170,345,MONTGOMERY STREET   ,BROOKLYN            ,11225,Yes,In Compliance ,38,38,117.4,117.4,42.77,Yes,ABS,80,330,4.9,325.1,105681,105675,Multifamily Housing,1
4365510,1015700012,,,1050730,417,EAST   90 STREET    ,MANHATTAN,10128,Yes,In Compliance ,67.3,Not Available,105.5,Not Available,Not Available,Yes,None,78,232.1,153.2,78.9,57011,50676,Multifamily Housing,1
4366063,3048530028,,,3108056,310,LENOX ROAD          ,BROOKLYN            ,11226,Yes,In Compliance ,92.3,Not Available,128.9,Not Available,78.03,Yes,ABS,86,686.3,527.1,159.2,124318,124314,Multifamily Housing,1
4366066,3048530035,,,3108057,330,LENOX ROAD          ,BROOKLYN            ,11226,Yes,In Compliance ,94.5,Not Available,127.3,Not Available,Not Available,No,None,87,632.9,505.8,127.1,112508,112518,Multifamily Housing,1
4366159,1006380001,,,1012044,427,WEST STREET         ,MANHATTAN,10014,Yes,In Compliance ,71.3,Not Available,118.8,Not Available,Not Available,No,None,7,307.9,186.1,121.7,69755,69755,Multifamily Housing,1
4367204,1021490101,,,1063586,480,WEST  187 STREET    ,MANHATTAN,10033,Yes,In Compliance ,128.9,122.5,158.3,151.8,58,Yes,ABS,15,577.2,512.5,64.7,59449,59449,Multifamily Housing,1
4367208,1021490084,,,1063583,90,LAUREL HILL TERRACE ,MANHATTAN,10033,Yes,In Compliance ,115.2,111.6,150,146.4,Not Available,No,None,18,766.6,651.4,115.2,88578,88578,Multifamily Housing,1
4367209,1021490104,,,1063587,475,WEST  186 STREET    ,MANHATTAN,10033,Yes,In Compliance ,108.6,104.8,133.3,129.5,34.64,Yes,ABS,34,498.5,442.5,56,61246,61246,Multifamily Housing,1
4367548,1006920030,,,1080297,169,  10 AVENUE         ,MANHATTAN,10011,Yes,In Compliance ,12.4,Not Available,39,Not Available,Not Available,No,None,100,120.5,0,120.5,117000,115550,Multifamily Housing,1
